Rk,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
9,Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,.437,3.1,9.2,.337,6.1,11.8,.515,.511,4.9,5.6,.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3
10,Paolo Banchero,22,ORL,PF,43,43,34.3,8.9,19.7,.453,1.9,5.9,.314,7.0,13.7,.513,.500,6.1,8.4,.727,1.1,6.2,7.3,4.7,0.8,0.6,3.0,2.1,25.8
11,Cade Cunningham,23,DET,PG,66,66,35.2,9.6,20.7,.462,2.1,6.0,.354,7.4,14.7,.506,.513,4.5,5.2,.858,0.8,5.3,6.1,9.2,1.0,0.7,4.5,2.8,25.7
12,Devin Booker,28,PHO,SG,70,70,37.4,8.6,18.8,.456,2.5,7.5,.338,6.0,11.2,.536,.524,5.9,6.6,.895,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.7,25.5
13,LaMelo Ball,23,CHO,PG,47,47,32.0,8.6,21.3,.405,3.8,11.2,.339,4.8,10.1,.478,.494,4.1,4.9,.843,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2
14,Anthony Davis,31,2TM,PF,48,48,33.6,9.3,17.9,.520,0.7,2.3,.295,8.6,15.6,.553,.539,5.6,7.3,.777,2.6,9.0,11.6,3.4,1.2,2.1,2.1,1.9,25.0
14,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7
14,Anthony Davis,31,DAL,PF,6,6,29.2,7.8,17.0,.461,0.8,3.0,.278,7.0,14.0,.500,.485,3.0,4.7,.643,1.3,8.3,9.7,4.0,0.7,2.0,1.3,1.7,19.5
15,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,.448,3.4,9.0,.376,4.3,8.1,.528,.547,6.2,6.8,.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9
16,Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,.473,2.9,7.2,.401,6.1,11.7,.517,.549,3.9,4.3,.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7
17,Zion Williamson,24,NOP,PF,30,30,28.6,9.6,16.9,.567,0.1,0.4,.231,9.5,16.5,.576,.570,5.3,8.0,.656,2.5,4.7,7.2,5.3,1.2,0.9,3.0,2.7,24.6
18,Stephen Curry,36,GSW,PG,63,63,32.1,8.0,17.9,.446,4.5,11.2,.399,3.5,6.7,.525,.571,4.0,4.3,.929,0.5,3.9,4.4,6.1,1.2,0.4,2.9,1.4,24.4
19,LeBron James,40,LAL,SF,64,64,35.1,9.3,18.3,.510,2.1,5.7,.374,7.2,12.6,.572,.569,3.6,4.6,.771,1.0,7.1,8.1,8.4,1.0,0.6,3.8,1.4,24.4
20,Karl-Anthony Towns,29,NYK,C,68,68,34.9,8.8,16.9,.521,2.0,4.8,.424,6.8,12.0,.560,.582,4.6,5.6,.827,3.0,9.9,12.8,3.1,1.0,0.7,2.7,3.5,24.3
21,Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,.476,3.1,8.8,.352,5.8,9.9,.586,.559,3.4,4.1,.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3
22,Franz Wagner,23,ORL,SF,57,57,33.8,8.9,19.4,.462,1.7,5.9,.290,7.2,13.5,.536,.505,4.6,5.3,.867,0.9,4.7,5.7,4.8,1.2,0.4,2.4,2.5,24.2
23,Trae Young,26,ATL,PG,71,71,36.2,7.4,18.1,.408,2.8,8.4,.334,4.6,9.7,.473,.486,6.5,7.4,.877,0.5,2.7,3.2,11.6,1.2,0.2,4.8,2.0,24.1
24,Donovan Mitchell,28,CLE,SG,69,69,31.4,8.3,18.6,.443,3.3,8.9,.367,5.0,9.7,.513,.531,4.2,5.1,.831,0.8,3.7,4.5,4.9,1.3,0.2,2.1,2.0,24.0
25,Cam Thomas,23,BRK,SG,25,23,31.2,8.0,18.2,.438,2.7,7.8,.349,5.2,10.4,.506,.513,5.3,6.0,.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0
26,Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,.444,1.2,4.1,.299,6.2,12.5,.492,.481,7.8,8.9,.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8
27,Tyler Herro,25,MIA,SG,73,73,35.6,8.4,17.9,.468,3.3,8.9,.371,5.1,9.0,.564,.561,3.7,4.2,.874,0.4,4.7,5.2,5.6,0.9,0.2,2.5,1.1,23.7
28,De'Aaron Fox,27,2TM,PG,62,62,36.1,8.7,18.8,.463,1.9,6.1,.310,6.8,12.6,.538,.514,4.2,5.1,.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5
28,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0
28,De'Aaron Fox,27,SAS,PG,17,17,34.0,7.4,16.5,.446,1.5,5.6,.274,5.8,10.9,.535,.493,3.5,4.2,.819,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,19.7
29,Zach LaVine,29,2TM,SF,68,68,34.9,8.2,16.2,.509,3.1,7.1,.432,5.2,9.1,.568,.603,3.3,4.0,.822,0.3,4.1,4.4,4.2,0.8,0.2,2.9,1.6,22.8
29,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0
29,Zach LaVine,29,SAC,SG,26,26,36.2,7.6,15.0,.504,2.8,6.8,.409,4.8,8.3,.581,.596,3.0,3.4,.875,0.3,3.3,3.6,3.7,0.7,0.1,3.0,1.6,20.9
30,Ja Morant,25,MEM,PG,46,46,30.2,7.9,17.3,.454,1.6,5.4,.300,6.3,12.0,.523,.500,5.3,6.5,.828,0.6,3.6,4.2,7.4,1.3,0.2,3.8,2.2,22.7
31,James Harden,35,LAC,PG,73,73,35.1,6.5,16.3,.401,3.0,8.6,.347,3.6,7.7,.462,.492,6.4,7.3,.873,0.7,5.0,5.7,8.6,1.5,0.7,4.4,2.1,22.5
32,Jaylen Brown,28,BOS,SF,60,60,34.8,8.4,18.1,.462,1.9,5.8,.319,6.5,12.3,.529,.513,3.9,5.1,.759,1.4,4.6,5.9,4.6,1.2,0.3,2.6,2.5,22.4
33,Jaren Jackson Jr.,25,MEM,C,69,69,29.5,8.1,16.4,.493,2.0,5.2,.377,6.1,11.2,.546,.552,4.2,5.4,.779,1.2,4.5,5.7,2.0,1.2,1.6,2.1,3.4,22.4
34,Norman Powell,31,LAC,SG,55,55,32.3,7.8,16.0,.489,3.1,7.3,.423,4.7,8.7,.544,.585,3.7,4.5,.815,0.4,2.9,3.3,2.2,1.2,0.2,1.8,1.9,22.4
35,DeMar DeRozan,35,SAC,SF,71,71,36.0,8.1,16.8,.482,1.1,3.3,.342,7.0,13.6,.515,.515,4.9,5.7,.861,0.6,3.3,3.9,4.4,0.9,0.4,1.4,1.9,22.2
36,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2
37,Jamal Murray,27,DEN,PG,65,65,36.3,8.0,16.8,.476,2.4,6.0,.396,5.6,10.8,.520,.546,3.2,3.7,.887,0.7,3.2,3.8,6.0,1.4,0.5,2.0,1.9,21.6
38,RJ Barrett,24,TOR,SF,55,55,32.7,8.1,17.0,.473,1.9,5.3,.359,6.2,11.8,.524,.528,3.5,5.4,.639,1.0,5.4,6.4,5.6,0.8,0.3,3.0,2.5,21.5
39,Jalen Green,22,HOU,SG,77,77,33.4,7.6,17.8,.426,2.9,8.3,.355,4.6,9.5,.487,.508,3.4,4.2,.814,0.6,4.2,4.7,3.4,0.9,0.3,2.5,1.6,21.5
40,Jalen Williams,23,OKC,SG,65,65,32.4,8.1,16.8,.481,1.8,5.0,.365,6.2,11.8,.530,.535,3.3,4.2,.783,0.8,4.6,5.4,5.2,1.6,0.7,2.2,2.3,21.3
41,Trey Murphy III,24,NOP,SF,53,51,35.0,7.2,15.8,.454,3.0,8.3,.361,4.2,7.6,.556,.548,3.8,4.3,.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2
42,CJ McCollum,33,NOP,PG,56,56,32.7,7.9,17.9,.444,3.1,8.2,.373,4.9,9.7,.505,.530,2.2,3.1,.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1
43,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0
44,Kawhi Leonard,33,LAC,SF,32,32,31.3,8.1,16.4,.492,2.0,5.1,.399,6.0,11.3,.535,.554,2.6,3.3,.798,0.9,4.8,5.8,3.0,1.5,0.5,2.0,1.5,20.8
45,Miles Bridges,26,CHO,PF,61,61,32.0,7.5,17.1,.436,2.2,7.0,.319,5.2,10.1,.518,.502,3.4,3.9,.871,1.2,6.5,7.7,4.0,0.7,0.7,2.1,1.4,20.6
46,Darius Garland,25,CLE,PG,71,71,30.6,7.4,15.6,.472,2.8,7.0,.402,4.6,8.6,.529,.562,3.0,3.4,.884,0.6,2.2,2.9,6.7,1.2,0.2,2.5,2.0,20.6
47,Jordan Poole,25,WAS,SG,66,66,29.6,6.7,15.6,.431,3.5,9.2,.380,3.2,6.4,.506,.543,3.6,4.1,.885,0.4,2.6,3.0,4.5,1.3,0.4,3.0,2.9,20.6
48,Coby White,24,CHI,SG,69,68,33.3,6.9,15.3,.449,3.0,8.1,.369,3.9,7.2,.539,.547,3.6,4.0,.895,0.3,3.2,3.6,4.4,1.0,0.2,2.4,2.1,20.4
49,Pascal Siakam,30,IND,PF,75,75,32.7,7.9,15.2,.518,1.6,4.2,.385,6.2,10.9,.570,.572,3.0,4.0,.740,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.5,20.3
50,Austin Reaves,26,LAL,SG,67,67,34.8,6.5,14.2,.455,2.6,7.2,.360,3.9,7.0,.551,.546,4.4,5.0,.884,0.8,3.7,4.5,5.9,1.1,0.3,2.4,2.0,19.9
51,Kristaps Porziņģis,29,BOS,C,39,39,29.0,6.6,13.6,.487,2.3,5.8,.404,4.3,7.9,.547,.572,3.8,4.7,.814,1.7,5.2,6.9,2.1,0.8,1.6,1.3,2.8,19.4
52,Anfernee Simons,25,POR,SG,70,70,32.7,6.8,16.1,.426,3.1,8.5,.363,3.8,7.6,.496,.521,2.5,2.8,.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3
53,Scottie Barnes,23,TOR,PF,61,61,33.1,7.2,16.3,.442,1.2,4.4,.265,6.0,11.9,.507,.477,3.6,4.7,.768,1.7,6.0,7.7,5.9,1.5,1.0,2.9,1.8,19.2
54,John Collins,27,UTA,PF,40,31,30.5,7.0,13.3,.527,1.5,3.7,.399,5.5,9.6,.577,.583,3.5,4.1,.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0
55,Lauri Markkanen,27,UTA,PF,47,47,31.4,6.3,14.9,.423,2.9,8.5,.346,3.4,6.4,.525,.521,3.4,3.9,.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0
56,Domantas Sabonis,28,SAC,C,64,64,34.8,7.5,12.8,.586,0.9,2.3,.404,6.5,10.5,.625,.622,3.1,4.2,.741,3.8,10.2,14.0,6.0,0.7,0.4,2.9,3.3,19.0
57,Alperen Şengün,22,HOU,C,73,73,31.6,7.4,14.9,.497,0.3,1.2,.236,7.1,13.7,.520,.506,3.9,5.6,.695,3.5,7.0,10.5,4.9,1.1,0.8,2.6,2.8,19.0
58,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9
59,Julius Randle,30,MIN,PF,63,63,32.3,6.6,13.7,.482,1.5,4.5,.333,5.1,9.3,.554,.536,4.2,5.1,.812,2.1,4.9,7.0,4.7,0.7,0.2,2.8,2.5,18.9
60,Desmond Bane,26,MEM,SG,64,63,31.8,7.0,14.4,.483,2.3,5.9,.388,4.7,8.5,.549,.562,2.5,2.9,.885,0.9,5.1,6.0,5.4,1.2,0.4,2.5,2.4,18.8
61,Cameron Johnson,28,BRK,PF,57,57,31.6,6.2,13.1,.475,2.8,7.2,.390,3.4,5.9,.578,.582,3.5,3.9,.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8
62,Tyrese Haliburton,24,IND,PG,69,69,33.6,6.6,13.9,.473,3.0,7.7,.391,3.6,6.2,.575,.581,2.5,2.9,.866,0.6,2.9,3.5,9.2,1.5,0.6,1.7,1.3,18.7
63,Evan Mobley,23,CLE,PF,67,67,30.3,7.1,12.7,.561,1.1,3.1,.368,6.0,9.6,.623,.606,3.1,4.2,.734,2.2,7.0,9.2,3.1,0.8,1.6,2.0,2.0,18.5
64,Nikola Vučević,34,CHI,C,68,67,31.4,7.5,14.2,.531,1.8,4.5,.400,5.7,9.7,.592,.594,1.7,2.1,.807,2.3,7.7,10.0,3.4,0.8,0.7,1.6,2.3,18.5
65,Andrew Wiggins,29,2TM,SF,58,58,30.9,6.3,14.1,.450,2.2,5.8,.376,4.1,8.2,.502,.528,3.3,4.3,.772,1.4,3.0,4.4,2.6,1.0,0.8,1.7,1.7,18.2
65,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6
65,Andrew Wiggins,29,MIA,SF,15,15,33.0,7.1,15.2,.465,2.2,6.0,.367,4.9,9.2,.529,.537,3.6,4.7,.761,1.2,2.9,4.1,3.2,1.1,1.1,2.7,1.9,19.9
66,Michael Porter Jr.,26,DEN,SF,72,72,33.6,6.9,13.7,.504,2.5,6.3,.398,4.4,7.3,.595,.596,1.9,2.5,.764,1.8,5.2,7.0,2.2,0.7,0.5,1.3,2.0,18.2
67,Collin Sexton,26,UTA,SG,60,58,27.8,6.6,13.7,.478,1.8,4.3,.405,4.8,9.4,.512,.542,3.3,3.9,.861,1.0,1.8,2.7,4.2,0.7,0.1,2.6,2.3,18.2
68,Shaedon Sharpe,21,POR,SG,68,48,31.1,6.8,15.0,.452,2.0,6.4,.308,4.8,8.6,.559,.518,2.5,3.2,.791,1.0,3.4,4.4,2.6,0.8,0.2,2.0,1.7,18.0
69,OG Anunoby,27,NYK,PF,70,70,36.6,6.5,13.7,.474,2.3,6.2,.371,4.2,7.5,.559,.558,2.5,3.0,.822,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.8
70,Mikal Bridges,28,NYK,SF,76,76,37.6,7.3,14.7,.497,2.1,5.8,.351,5.3,8.9,.593,.567,1.1,1.4,.804,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.8
71,Bam Adebayo,27,MIA,C,74,74,34.3,6.8,14.0,.487,0.9,2.7,.338,5.9,11.3,.523,.520,3.2,4.2,.761,2.4,7.2,9.6,4.3,1.2,0.7,2.1,2.1,17.7
72,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6
73,Malik Monk,26,SAC,SG,62,45,32.3,6.5,14.8,.440,2.2,6.7,.325,4.3,8.0,.536,.514,2.4,2.8,.860,0.5,3.3,3.8,5.7,1.0,0.6,2.5,2.5,17.6
74,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5
75,Immanuel Quickley,25,TOR,PG,31,31,28.2,5.7,13.4,.423,2.6,6.8,.382,3.1,6.6,.466,.520,3.5,4.1,.865,0.5,3.0,3.5,5.9,0.7,0.1,1.8,1.9,17.5
76,Jimmy Butler,35,2TM,SF,48,48,31.4,5.5,11.0,.496,0.5,1.9,.283,4.9,9.1,.541,.521,5.8,7.0,.830,2.4,3.3,5.7,5.5,1.3,0.3,1.4,1.0,17.3
76,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0
76,Jimmy Butler,35,GSW,SF,23,23,32.3,5.2,11.5,.453,0.6,2.4,.232,4.7,9.1,.512,.477,6.5,7.6,.857,2.5,3.6,6.1,6.2,1.4,0.3,1.7,1.0,17.5
77,Bradley Beal,31,PHO,SG,48,33,32.2,6.6,13.1,.505,1.9,4.9,.395,4.7,8.3,.569,.578,2.2,2.7,.813,0.7,2.7,3.4,3.6,1.0,0.5,1.9,2.6,17.3
78,De'Andre Hunter,27,2TM,SF,60,8,27.2,5.5,11.7,.471,2.4,6.0,.405,3.1,5.8,.539,.574,3.5,4.1,.855,0.7,3.2,3.9,1.4,0.7,0.2,1.3,2.4,17.0
78,De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,.461,2.6,6.7,.393,3.5,6.6,.531,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0
78,De'Andre Hunter,27,CLE,SF,23,4,24.7,4.5,9.2,.493,2.1,4.8,.432,2.4,4.3,.560,.607,2.7,3.1,.847,0.7,3.2,3.9,1.1,0.5,0.2,0.7,2.5,13.8
79,Keyonte George,21,UTA,PG,62,32,31.1,5.3,13.5,.393,2.6,7.5,.343,2.7,6.0,.453,.487,3.5,4.3,.811,0.4,3.3,3.7,5.6,0.7,0.1,2.7,1.6,16.6
80,Deni Avdija,24,POR,SF,70,52,29.9,5.4,11.4,.476,1.7,4.7,.368,3.7,6.7,.551,.551,3.9,5.1,.777,1.4,5.7,7.1,3.9,1.0,0.5,2.7,2.4,16.5
81,Ivica Zubac,27,LAC,C,74,74,32.7,7.2,11.6,.623,0.0,0.0,,7.2,11.6,.623,.623,2.0,3.0,.652,3.7,8.8,12.5,2.6,0.7,1.2,1.6,2.2,16.5
82,Derrick White,30,BOS,SG,72,72,33.9,5.6,12.7,.439,3.5,9.1,.380,2.1,3.6,.588,.575,1.9,2.2,.839,0.8,3.6,4.4,4.6,1.0,1.1,1.7,1.9,16.4
83,Malik Beasley,28,DET,SG,76,17,27.9,5.6,12.9,.434,3.9,9.2,.421,1.7,3.7,.466,.584,1.2,1.7,.679,0.6,2.1,2.7,1.7,0.9,0.1,1.1,1.6,16.3
84,Devin Vassell,24,SAS,SG,60,49,31.1,6.2,13.9,.443,2.4,6.6,.364,3.8,7.3,.514,.529,1.6,1.9,.802,0.5,3.5,4.0,2.9,1.2,0.6,1.3,1.7,16.3
85,Jordan Clarkson,32,UTA,SG,37,9,26.0,5.4,13.3,.408,2.3,6.3,.362,3.2,7.1,.448,.493,3.1,3.9,.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2
86,Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,.430,2.3,6.5,.358,3.6,7.4,.493,.514,1.9,2.4,.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2
87,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2
88,Bennedict Mathurin,22,IND,SF,67,48,30.1,5.5,11.9,.466,1.4,4.0,.352,4.1,7.9,.525,.526,3.7,4.4,.839,1.2,4.2,5.4,1.9,0.6,0.4,1.9,2.3,16.1
89,Jonathan Kuminga,22,GSW,PF,41,10,25.0,5.7,12.5,.455,1.0,3.3,.319,4.6,9.2,.504,.497,3.5,5.3,.665,1.2,3.4,4.6,2.2,0.9,0.5,1.5,1.9,16.0
90,Myles Turner,28,IND,C,67,67,30.4,5.4,11.2,.481,2.2,5.4,.401,3.2,5.8,.557,.578,2.4,3.1,.777,1.2,5.4,6.6,1.6,0.8,1.9,1.7,2.6,15.4
91,Mark Williams,23,CHO,C,41,38,26.5,6.2,10.1,.615,0.0,0.0,.000,6.2,10.0,.618,.615,3.0,3.8,.799,3.0,7.2,10.2,2.5,0.7,1.2,1.5,2.3,15.4
92,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3
93,Christian Braun,23,DEN,SG,74,72,33.7,5.9,10.3,.574,1.1,2.8,.388,4.8,7.5,.644,.627,2.2,2.7,.825,1.3,3.9,5.2,2.5,1.1,0.5,1.0,2.1,15.2
94,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,.470,1.2,4.0,.293,4.6,8.3,.555,.518,2.3,3.1,.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1
95,Kyle Kuzma,29,2TM,PF,58,55,30.4,5.7,13.4,.425,1.4,4.9,.291,4.3,8.5,.502,.478,2.1,3.2,.644,0.8,5.2,6.0,2.4,0.5,0.3,2.3,1.9,14.9
95,Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2
95,Kyle Kuzma,29,MIL,PF,26,25,33.7,5.3,12.3,.433,1.4,4.7,.303,3.9,7.7,.513,.491,2.4,3.5,.689,0.8,5.5,6.3,2.3,0.4,0.3,2.2,2.2,14.5
96,Chet Holmgren,22,OKC,C,28,28,27.4,5.3,10.8,.488,1.2,3.6,.340,4.0,7.2,.562,.545,3.0,4.1,.733,1.6,6.8,8.4,2.0,0.8,2.4,1.9,2.1,14.8
97,P.J. Washington,26,DAL,PF,53,52,32.4,5.4,11.9,.450,1.6,4.2,.378,3.8,7.7,.490,.517,2.5,3.4,.736,1.5,6.3,7.8,2.3,1.1,1.1,2.0,2.4,14.8
98,Jakob Poeltl,29,TOR,C,56,55,29.6,6.4,10.1,.630,0.0,0.1,.333,6.4,10.1,.632,.631,1.7,2.6,.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5
99,Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4
100,Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4
101,Jerami Grant,30,POR,PF,47,47,32.4,4.6,12.2,.373,2.3,6.3,.365,2.3,5.9,.381,.467,3.0,3.5,.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4
102,Naz Reid,25,MIN,C,74,17,27.6,5.4,11.7,.461,2.3,5.9,.389,3.1,5.8,.535,.559,1.4,1.8,.767,1.1,4.9,6.1,2.3,0.8,0.9,1.3,2.4,14.4
103,Klay Thompson,34,DAL,SF,68,68,27.6,5.1,12.5,.413,3.1,7.8,.393,2.1,4.6,.446,.536,1.0,1.1,.905,0.6,2.9,3.6,2.1,0.7,0.4,1.3,1.2,14.4
104,Stephon Castle,20,SAS,PG,75,41,26.2,5.1,12.1,.423,1.2,4.1,.287,3.9,8.0,.493,.472,2.9,4.0,.716,1.1,2.4,3.5,3.8,0.9,0.3,2.1,2.0,14.3
105,Josh Giddey,22,CHI,PG,67,66,29.9,5.2,11.2,.463,1.5,4.0,.377,3.7,7.3,.510,.530,2.4,3.0,.775,1.8,6.0,7.8,7.0,1.2,0.6,2.9,1.7,14.3
106,Aaron Gordon,29,DEN,PF,46,37,27.8,5.0,9.4,.530,1.5,3.3,.461,3.4,6.0,.568,.612,2.8,3.5,.799,1.5,3.4,4.9,3.1,0.4,0.2,1.4,1.6,14.3
107,Fred VanVleet,30,HOU,PG,57,57,35.3,4.8,12.8,.379,2.7,7.7,.345,2.2,5.1,.431,.483,1.9,2.3,.826,0.6,3.3,3.9,5.6,1.6,0.4,1.4,2.3,14.3
108,Dyson Daniels,21,ATL,SG,71,71,33.9,6.0,12.2,.493,1.1,3.1,.345,4.9,9.1,.543,.537,1.1,1.8,.600,1.7,4.2,5.9,4.3,3.1,0.7,2.0,2.4,14.2
